Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0 10 22       29.9749         0.1262       170.100        0.416
   0 10 23       30.0297         0.1269       169.416        0.418
   0 10 24       30.0880         0.1275       168.733        0.419
   0 10 25       30.1498         0.1281       168.054        0.420
   0 10 26       30.2150         0.1287       167.377        0.420
   0 10 27       30.2836         0.1292       166.704        0.421
   0 10 28       30.3556         0.1297       166.034        0.421
   0 10 29       30.4310         0.1302       165.367        0.422
   0 10 30       30.5097         0.1306       164.704        0.422
   0 10 31       30.5916         0.1310       164.045        0.422
   0 11  0       30.0332         0.1346       185.374        0.359
   0 11  1       30.0083         0.1340       184.690        0.360
   0 11  2       29.9870         0.1333       184.003        0.364
   0 11  3       29.9693         0.1326       183.315        0.367
   0 11  4       29.9551         0.1319       182.626        0.370
   0 11  5       29.9445         0.1312       181.935        0.374
   0 11  6       29.9375         0.1304       181.243        0.377
   0 11  7       29.9341         0.1296       180.551        0.380
   0 11  8       29.9343         0.1287       179.858        0.383
   0 11  9       29.9382         0.1279       179.165        0.386
   0 11 10       29.9457         0.1270       178.471        0.389
   0 11 11       29.9568         0.1261       177.777        0.391
   0 11 12       29.9716         0.1251       177.084        0.394
   0 11 13       29.9900         0.1241       176.391        0.396
   0 11 14       30.0120         0.1231       175.698        0.398
   0 11 15       30.0377         0.1221       175.007        0.400
   0 11 16       30.0669         0.1212       174.316        0.402
   0 11 17       30.0998         0.1220       173.627        0.404
   0 11 18       30.1363         0.1228       172.939        0.406
   0 11 19       30.1764         0.1236       172.253        0.408
   0 11 20       30.2200         0.1243       171.568        0.409
   0 11 21       30.2671         0.1250       170.885        0.411
   0 11 22       30.3178         0.1257       170.205        0.412
   0 11 23       30.3720         0.1264       169.527        0.413
   0 11 24       30.4296         0.1270       168.851        0.414
   0 11 25       30.4907         0.1276       168.178        0.415
   0 11 26       30.5552         0.1281       167.508        0.416
   0 11 27       30.6230         0.1286       166.841        0.416
   0 11 28       30.6942         0.1291       166.177        0.417
   0 11 29       30.7687         0.1296       165.517        0.417
   0 11 30       30.8465         0.1300       164.860        0.418
   0 11 31       30.9275         0.1304       164.206        0.418
   0 12  0       30.3773         0.1341       185.323        0.355
   0 12  1       30.3530         0.1335       184.645        0.357
   0 12  2       30.3321         0.1329       183.966        0.360
   0 12  3       30.3147         0.1322       183.285        0.363
   0 12  4       30.3008         0.1315       182.602        0.367
   0 12  5       30.2905         0.1307       181.919        0.370
   0 12  6       30.2837         0.1300       181.234        0.373
   0 12  7       30.2805         0.1292       180.549        0.376
   0 12  8       30.2808         0.1283       179.863        0.379
   0 12  9       30.2847         0.1275       179.177        0.382
   0 12 10       30.2922         0.1266       178.490        0.384
   0 12 11       30.3033         0.1257       177.804        0.387
   0 12 12       30.3180         0.1247       177.117        0.390
