Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0 14 14       30.7562         0.6042       174.817        1.607
   0 14 15       30.7865         0.5977       174.139        1.616
   0 14 16       30.8204         0.5910       173.463        1.625
   0 14 17       30.8579         0.5842       172.787        1.633
   0 14 18       30.8988         0.5773       172.113        1.641
   0 14 19       30.9432         0.5703       171.441        1.649
   0 14 20       30.9910         0.5632       170.771        1.655
   0 14 21       31.0423         0.5560       170.103        1.662
   0 14 22       31.0970         0.5487       169.437        1.667
   0 14 23       31.1551         0.5414       168.774        1.673
   0 14 24       31.2165         0.5339       168.114        1.677
   0 14 25       31.2813         0.5264       167.456        1.682
   0 14 26       31.3493         0.5189       166.801        1.685
   0 14 27       31.4206         0.5112       166.149        1.689
   0 14 28       31.4952         0.5036       165.500        1.691
   0 14 29       31.5729         0.4958       164.855        1.694
   0 14 30       31.6538         0.4881       164.213        1.695
   0 14 31       31.7378         0.4803       163.575        1.697
   0 15  0       31.0491         0.6791       184.291        1.417
   0 15  1       31.0304         0.6746       183.622        1.431
   0 15  2       31.0151         0.6700       182.953        1.446
   0 15  3       31.0032         0.6652       182.282        1.460
   0 15  4       30.9948         0.6602       181.610        1.474
   0 15  5       30.9899         0.6551       180.937        1.488
   0 15  6       30.9885         0.6498       180.263        1.501
   0 15  7       30.9905         0.6444       179.589        1.513
   0 15  8       30.9961         0.6388       178.915        1.526
   0 15  9       31.0052         0.6331       178.241        1.537
   0 15 10       31.0178         0.6273       177.566        1.549
   0 15 11       31.0339         0.6213       176.892        1.560
   0 15 12       31.0535         0.6152       176.218        1.570
   0 15 13       31.0766         0.6089       175.545        1.580
   0 15 14       31.1032         0.6026       174.873        1.590
   0 15 15       31.1333         0.5961       174.202        1.599
   0 15 16       31.1669         0.5895       173.532        1.608
   0 15 17       31.2039         0.5828       172.863        1.616
   0 15 18       31.2444         0.5760       172.196        1.624
   0 15 19       31.2883         0.5691       171.530        1.631
   0 15 20       31.3357         0.5621       170.866        1.638
   0 15 21       31.3864         0.5550       170.205        1.644
   0 15 22       31.4405         0.5478       169.545        1.650
   0 15 23       31.4979         0.5406       168.888        1.655
   0 15 24       31.5587         0.5332       168.234        1.659
   0 15 25       31.6227         0.5259       167.582        1.664
   0 15 26       31.6900         0.5184       166.933        1.667
   0 15 27       31.7605         0.5109       166.287        1.671
