Tele EF EB theta(degree) phi(degree)
   0 17  6       31.6837     180.265
   0 17  7       31.6859     179.604
   0 17  8       31.6916     178.943
   0 17  9       31.7007     178.282
   0 17 10       31.7132     177.621
   0 17 11       31.7291     176.960
   0 17 12       31.7485     176.300
   0 17 13       31.7712     175.640
   0 17 14       31.7974     174.981
   0 17 15       31.8270     174.322
   0 17 16       31.8599     173.665
   0 17 17       31.8962     173.010
   0 17 18       31.9359     172.355
   0 17 19       31.9789     171.702
   0 17 20       32.0252     171.051
   0 17 21       32.0749     170.402
   0 17 22       32.1278     169.755
   0 17 23       32.1840     169.110
   0 17 24       32.2434     168.468
   0 17 25       32.3060     167.828
   0 17 26       32.3718     167.191
   0 17 27       32.4407     166.556
   0 17 28       32.5127     165.925
   0 17 29       32.5878     165.296
   0 17 30       32.6660     164.671
   0 17 31       32.7471     164.049
   0 18  0       32.0871     184.176
   0 18  1       32.0695     183.527
   0 18  2       32.0552     182.877
   0 18  3       32.0442     182.225
   0 18  4       32.0365     181.573
   0 18  5       32.0322     180.920
   0 18  6       32.0312     180.266
   0 18  7       32.0336     179.612
   0 18  8       32.0393     178.957
   0 18  9       32.0484     178.302
   0 18 10       32.0609     177.648
   0 18 11       32.0768     176.993
   0 18 12       32.0960     176.339
   0 18 13       32.1186     175.686
   0 18 14       32.1445     175.033
   0 18 15       32.1738     174.381
   0 18 16       32.2064     173.730
   0 18 17       32.2424     173.081
   0 18 18       32.2817     172.433
   0 18 19       32.3242     171.786
   0 18 20       32.3701     171.141
   0 18 21       32.4192     170.498
   0 18 22       32.4715     169.857
   0 18 23       32.5271     169.218
   0 18 24       32.5858     168.581
   0 18 25       32.6478     167.947
   0 18 26       32.7128     167.316
   0 18 27       32.7810     166.687
   0 18 28       32.8522     166.061
   0 18 29       32.9264     165.438
   0 18 30       33.0037     164.818
   0 18 31       33.0839     164.202
   0 19  0       32.4331     184.139
   0 19  1       32.4158     183.496
   0 19  2       32.4019     182.852
   0 19  3       32.3911     182.207
   0 19  4       32.3837     181.561
   0 19  5       32.3796     180.914
   0 19  6       32.3787     180.267
   0 19  7       32.3812     179.619
   0 19  8       32.3870     178.971
   0 19  9       32.3961     178.322
   0 19 10       32.4086     177.674
   0 19 11       32.4243     177.026
   0 19 12       32.4434     176.378
   0 19 13       32.4659     175.731
   0 19 14       32.4916     175.084
   0 19 15       32.5206     174.439
   0 19 16       32.5529     173.794
   0 19 17       32.5885     173.151
   0 19 18       32.6274     172.509
   0 19 19       32.6696     171.868
   0 19 20       32.7149     171.229
   0 19 21       32.7635     170.592
   0 19 22       32.8153     169.957
   0 19 23       32.8703     169.324
   0 19 24       32.9284     168.693
   0 19 25       32.9896     168.064
   0 19 26       33.0539     167.438
   0 19 27       33.1213     166.815
   0 19 28       33.1917     166.195
   0 19 29       33.2652     165.577
   0 19 30       33.3416     164.963
   0 19 31       33.4209     164.351
   0 20  0       32.7789     184.103
   0 20  1       32.7621     183.466
   0 20  2       32.7484     182.828
   0 20  3       32.7380     182.189
