      *tel    numcsi         Z         A               AZ2/E               Leff
         5         3         2         6            0.418294           0.0125283
         5         3         2         6            0.399138           0.0127196
         6         0         2         6             2.50136          0.00481787
         6         0         2         6             1.61902          0.00588773
         6         0         2         6             1.19684          0.00664399
         6         0         2         6            0.949296          0.00655413
         6         0         2         6            0.786604          0.00657384
         6         0         2         6            0.671517          0.00660298
         6         0         2         6            0.585809          0.00681972
         6         0         2         6            0.519503          0.00685509
         6         0         2         6             0.46668          0.00694083
         6         0         2         6            0.423608          0.00696956
         6         0         2         6            0.387815          0.00693985
         6         0         2         6              0.3576          0.00710728
         6         0         2         6            0.331752          0.00720036
         6         0         2         6            0.309389          0.00721479
         6         0         2         6            0.289851           0.0072909
         6         0         2         6            0.272633          0.00712279
         6         0         2         6            0.257347           0.0072362
         6         0         2         6            0.243684          0.00737943
         6         0         2         6            0.231398          0.00735731
         6         0         2         6            0.220292          0.00744772
         6         1         2         6             2.25604          0.00601695
         6         1         2         6             1.53903          0.00651337
         6         1         2         6             1.16787          0.00652185
         6         1         2         6             0.94094           0.0068922
         6         1         2         6            0.787854          0.00688096
         6         1         2         6             0.67761          0.00700125
         6         1         2         6            0.594432           0.0071764
         6         1         2         6            0.529441          0.00726739
         6         1         2         6            0.477262          0.00715062
         6         1         2         6            0.434444          0.00724615
         6         1         2         6            0.398677          0.00753961
         6         1         2         6            0.368351          0.00754211
         6         1         2         6            0.342313           0.0076421
         6         1         2         6            0.319713          0.00757363
         6         1         2         6            0.299912          0.00751736
         6         1         2         6            0.282421           0.0077231
         6         1         2         6            0.266857          0.00773567
         6         1         2         6             0.25292          0.00780981
         6         1         2         6            0.240366          0.00774441
         6         1         2         6            0.228999          0.00761417
         6         2         2         6              2.6976          0.00581944
         6         2         2         6             1.73773          0.00561803
         6         2         2         6             1.28168          0.00591061
         6         2         2         6             1.01524          0.00613395
         6         2         2         6            0.840511          0.00637884
         6         2         2         6            0.717095            0.006567
         6         2         2         6            0.625282            0.006606
         6         2         2         6            0.554311           0.0067854
         6         2         2         6            0.497808          0.00701006
         6         2         2         6            0.451759          0.00708225
         6         2         2         6            0.413508          0.00720914
         6         2         2         6            0.381229          0.00728535
         6         2         2         6            0.353624          0.00717148
         6         2         2         6            0.329748          0.00737694
         6         2         2         6            0.308891          0.00746806
         6         2         2         6            0.290516          0.00744765
         6         2         2         6            0.274205          0.00745876
         6         2         2         6            0.259627          0.00748915
         6         2         2         6            0.246522          0.00737616
         6         2         2         6            0.234676            0.007313
         6         3         2         6             2.69784          0.00463047
         6         3         2         6             1.69592          0.00551032
         6         3         2         6             1.23665          0.00606261
         6         3         2         6             0.97312          0.00646486
         6         3         2         6            0.802177          0.00666263
         6         3         2         6            0.682318          0.00665658
         6         3         2         6            0.593621          0.00651987
         6         3         2         6            0.525331          0.00667383
         6         3         2         6            0.471132          0.00676017
         6         3         2         6            0.427071          0.00672535
         6         3         2         6            0.390546          0.00684979
         6         3         2         6            0.359777          0.00673381
         6         3         2         6            0.333501           0.0067453
         6         3         2         6            0.310803           0.0069189
         6         3         2         6            0.290997          0.00689172
         6         3         2         6            0.273565           0.0069389
         6         3         2         6            0.258103          0.00693791
         6         3         2         6            0.244295          0.00681666
         6         3         2         6             0.23189          0.00698346
         6         3         2         6            0.220683          0.00703376
         7         0         2         6             3.24915          0.00523395
         7         0         2         6             1.92877          0.00640083
         7         0         2         6             1.37144          0.00622867
         7         0         2         6               1.064          0.00634059
         7         0         2         6            0.869153          0.00655306
         7         0         2         6            0.734625          0.00656824
         7         0         2         6             0.63616           0.0065322
         7         0         2         6             0.56097          0.00671932
         7         0         2         6            0.501676          0.00688348
         7         0         2         6            0.453718          0.00690224
         7         0         2         6            0.414129          0.00701892
         7         0         2         6            0.380895          0.00704785
         7         0         2         6            0.352598          0.00697825
         7         0         2         6            0.328215          0.00721857
         7         0         2         6            0.306986          0.00728027
         7         0         2         6            0.288336           0.0072962
         7         0         2         6            0.271823          0.00729769
         7         0         2         6            0.257099          0.00721981
         7         0         2         6            0.243887           0.0073612
         7         0         2         6            0.231968          0.00746143
         7         1         2         6             2.84847          0.00514325
         7         1         2         6             1.82246          0.00562977
         7         1         2         6             1.33985           0.0062998
         7         1         2         6             1.05933          0.00685409
         7         1         2         6            0.875938          0.00713043
         7         1         2         6            0.746673          0.00725724
         7         1         2         6            0.650653          0.00720273
         7         1         2         6            0.576515          0.00738649
         7         1         2         6            0.517544           0.0075118
         7         1         2         6            0.469518          0.00747609
         7         1         2         6            0.429648          0.00754808
         7         1         2         6             0.39602           0.0075254
         7         1         2         6            0.367273          0.00747776
         7         1         2         6            0.342418          0.00769722
         7         1         2         6            0.320713          0.00768971
         7         1         2         6            0.301596          0.00770454
         7         1         2         6             0.28463          0.00770617
         7         1         2         6            0.269471          0.00755585
         7         1         2         6            0.255845          0.00771893
         7         1         2         6             0.24353          0.00781195
         7         2         2         6              2.8719          0.00520801
