      *tel    numcsi               AZ2/E               Leff
         8         2             2.22998          0.00540893
         8         2             1.96089          0.00591993
         8         2             1.74976          0.00628996
         8         2             1.57967          0.00662538
         8         2             1.43972          0.00701169
         8         2             1.32255           0.0073939
         8         2             1.22302          0.00763911
         8         2             1.13742          0.00779265
         8         2             1.06301          0.00802031
         8         2            0.997747           0.0082798
         8         2            0.940032           0.0084177
         8         2            0.888628          0.00849429
         8         2            0.842555          0.00863499
         8         2            0.801024          0.00879706
         8         2            0.763395          0.00893732
         8         2            0.729143          0.00901572
         8         3             4.32895          0.00377931
         8         3             3.37016          0.00396647
         8         3             2.75907           0.0043408
         8         3             2.33558          0.00490229
         8         3             2.02479          0.00556061
         8         3               1.787          0.00612847
         8         3             1.59919          0.00660014
         8         3             1.44711          0.00697641
         8         3             1.32144          0.00725781
         8         3             1.21585          0.00748718
         8         3             1.12589          0.00774178
         8         3             1.04832          0.00800046
         8         3             0.98075          0.00820879
         8         3            0.921365          0.00836423
         8         3            0.868761          0.00846637
         8         3            0.821839          0.00855593
         8         3            0.779726          0.00869086
         8         3            0.741718          0.00884978
         8         3            0.707244          0.00901226
         8         3            0.675832          0.00910699
         9         0             4.49719          0.00456245
         9         0             3.64481          0.00475839
         9         0             3.06405          0.00515028
         9         0             2.64294           0.0057381
         9         0             2.32359          0.00642664
         9         0             2.07309          0.00698106
         9         0             1.87135          0.00739162
         9         0             1.70539          0.00772592
         9         0             1.56647          0.00802355
         9         0             1.44848          0.00829376
         9         0             1.34702          0.00854977
         9         0             1.25884          0.00878178
         9         0             1.18149          0.00897218
         9         0              1.1131           0.0091091
         9         0              1.0522          0.00917479
         9         0            0.997613          0.00923831
         9         0            0.948412          0.00937181
         9         0            0.903835          0.00951162
         9         0            0.863261           0.0096176
         9         0            0.826173          0.00967337
         9         1              5.4519          0.00336285
         9         1             4.11388          0.00352594
         9         1              3.3032          0.00385213
         9         1             2.75942          0.00434141
         9         1             2.36938          0.00495548
         9         1             2.07594          0.00549788
         9         1             1.84718          0.00594085
         9         1             1.66383           0.0063167
         9         1             1.51359          0.00670647
         9         1             1.38824          0.00710876
         9         1             1.28206           0.0074786
         9         1             1.19097          0.00780224
         9         1             1.11196          0.00803694
         9         1             1.04279          0.00818815
         9         1            0.981715          0.00839918
         9         1              0.9274          0.00866544
         9         1            0.878781          0.00884704
         9         1            0.835005          0.00896874
         9         1            0.795384          0.00909395
         9         1            0.759352            0.009171
         9         2             7.27291          0.00359418
         9         2             5.13361          0.00377061
         9         2             3.96679          0.00412346
         9         2             3.23215          0.00465273
         9         2              2.7271          0.00532052
         9         2             2.35856          0.00591172
         9         2             2.07777          0.00639244
         9         2             1.85672          0.00679482
         9         2             1.67818           0.0071813
         9         2             1.53097          0.00753897
         9         2              1.4075          0.00779836
         9         2             1.30246           0.0079727
         9         2             1.21201          0.00818622
         9         2             1.13331          0.00843666
         9         2              1.0642           0.0086371
         9         2             1.00304          0.00876391
         9         2            0.948525          0.00878366
         9         2            0.899631          0.00882527
         9         2            0.855531          0.00902278
         9         2            0.815552           0.0091677
         9         3             7.81991          0.00371882
         9         3             5.41224          0.00399414
         9         3             4.13815          0.00454479
         9         3             3.34962          0.00537075
         9         3              2.8135          0.00639401
         9         3             2.42532          0.00717753
         9         3             2.13127          0.00765345
         9         3             1.90081          0.00797346
         9         3             1.71533             0.00831
         9         3             1.56282          0.00864755
         9         3             1.43522           0.0089512
         9         3             1.32689          0.00919004
         9         3             1.23376          0.00929402
         9         3             1.15285          0.00935055
         9         3             1.08189          0.00952631
         9         3             1.01917          0.00968825
         9         3            0.963316          0.00967939
         9         3            0.913268          0.00970808
         9         3            0.868164          0.00989347
         9         3            0.827305           0.0100225
        10         0             31.0306          0.00283332
        10         0             11.7459          0.00303268
        10         0             7.24394          0.00343139
        10         0             5.23679          0.00402946
        10         0              4.1006          0.00482686
        10         0             3.36954          0.00564485
        10         0              2.8597           0.0063116
        10         0             2.48387          0.00683197
        10         0             2.19536          0.00727435
        10         0             1.96689          0.00766123
        10         0             1.78149          0.00802688
        10         0             1.62804          0.00839353
        10         0             1.49892          0.00867281
        10         0             1.38878          0.00881617
        10         0             1.29372          0.00899415
        10         0             1.21083          0.00924858
        10         0             1.13793          0.00943878
        10         0             1.07331          0.00957003
        10         0             1.01563            0.009701
        10         0            0.963839           0.0097822
        10         1              4.0218          0.00402229
        10         1              3.2582          0.00419707
        10         1             2.73829          0.00454664
        10         1             2.36147          0.00507099
        10         1             2.07582          0.00564857
        10         1             1.85181          0.00610542
        10         1             1.67145          0.00644238
        10         1              1.5231          0.00676685
        10         1             1.39893          0.00713854
        10         1             1.29349          0.00751544
        10         1             1.20282          0.00781266
        10         1             1.12404          0.00804252
        10         1             1.05494          0.00825177
        10         1            0.993841          0.00845641
        10         1            0.939434          0.00869436
        10         1            0.890675          0.00891385
        10         1            0.846728          0.00900295
        10         1            0.806914          0.00910404
        10         1            0.770675          0.00936336
        10         1            0.737552          0.00954587
        10         2             3.26102          0.00510403
        10         2             2.80084          0.00525391
        10         2             2.45448          0.00555366
        10         2             2.18435          0.00600328
        10         2             1.96779          0.00653206
        10         2              1.7903          0.00697939
        10         2             1.64217          0.00733921
        10         2             1.51669           0.0076794
        10         2             1.40902          0.00805589
        10         2             1.31562          0.00843168
        10         2             1.23384          0.00871157
        10         2             1.16163          0.00892657
        10         2              1.0974          0.00920791
        10         2              1.0399          0.00952965
        10         2            0.988131           0.0097692
        10         2            0.941271          0.00991604
        10         2            0.898653           0.0099677
        10         2            0.859727           0.0100556
        10         2            0.824034           0.0103065
        10         2            0.791186           0.0104838
        10         3             3.43113          0.00462941
        10         3             2.88076          0.00489935
        10         3             2.48254          0.00543922
        10         3             2.18105          0.00623799
        10         3             1.94485          0.00693296
        10         3             1.75482          0.00734861
        10         3             1.59861          0.00755853
        10         3             1.46795          0.00777573
        10         3             1.35703          0.00800699
        10         3             1.26169           0.0082033
        10         3             1.17887          0.00835744
