      *tel    numcsi         Z         A     -dE/dx (MeV/um)               Leff
         4         2         1         1          0.00105121             3.64783
         4         2         1         1          0.00102114             3.55251
         4         3         1         1           0.0101444              7.0674
         4         3         1         1           0.0057715             6.31877
         4         3         1         1          0.00412635             5.98121
         4         3         1         1          0.00326743              5.7763
         4         3         1         1          0.00273766             5.62478
         4         3         1         1          0.00237718             5.50052
         4         3         1         1          0.00211549             5.39186
         4         3         1         1           0.0019166             5.29311
         4         3         1         1          0.00176018             5.20161
         4         3         1         1          0.00163383             5.11578
         4         3         1         1           0.0015296             5.03438
         4         3         1         1          0.00144211              4.9548
         4         3         1         1          0.00136761             4.87967
         4         3         1         1          0.00130339             4.80549
         4         3         1         1          0.00124747             4.73353
         4         3         1         1          0.00119832             4.66339
         4         3         1         1          0.00115478             4.59513
         4         3         1         1          0.00111595             4.52764
         4         3         1         1          0.00108111              4.4612
         4         3         1         1          0.00104967             4.39645
         5         0         1         1          0.00996524              7.1437
         5         0         1         1          0.00566134             6.55791
         5         0         1         1          0.00404843             6.28217
         5         0         1         1          0.00320694             6.09417
         5         0         1         1          0.00268808             5.93881
         5         0         1         1          0.00233507             5.79994
         5         0         1         1          0.00207885             5.67014
         5         0         1         1          0.00188414             5.54711
         5         0         1         1          0.00173101             5.42824
         5         0         1         1          0.00160734             5.31449
         5         0         1         1          0.00150532             5.20438
         5         0         1         1           0.0014197             5.09688
         5         0         1         1           0.0013468             4.99224
         5         0         1         1          0.00128397             4.89071
         5         0         1         1          0.00122925              4.7911
         5         0         1         1          0.00118117             4.69403
         5         0         1         1          0.00113858             4.59932
         5         0         1         1          0.00110061             4.50602
         5         0         1         1          0.00106653             4.41543
         5         0         1         1          0.00103579             4.32636
         5         1         1         1          0.00996669             8.65238
         5         1         1         1          0.00537985             8.12656
         5         1         1         1          0.00378942             7.63639
         5         1         1         1          0.00298348             7.20403
         5         1         1         1           0.0024941             6.81499
         5         1         1         1          0.00216435              6.4608
         5         1         1         1          0.00192658             6.13497
         5         1         1         1          0.00174678             5.83339
         5         1         1         1          0.00160591             5.55568
         5         1         1         1           0.0014925               5.296
         5         1         1         1          0.00139919             5.05447
         5         1         1         1          0.00132105             4.82925
         5         1         1         1          0.00125465             4.61731
         5         1         1         1          0.00119752             4.41865
         5         1         1         1          0.00114784             4.23149
         5         1         1         1          0.00110425             4.05516
         5         1         1         1           0.0010657             3.88885
         5         1         1         1          0.00103136             3.73194
         5         1         1         1           0.0010006             3.58307
         5         1         1         1         0.000972873             3.44205
         5         2         1         1          0.00980942             8.49973
         5         2         1         1          0.00532796             7.66291
         5         2         1         1          0.00376426             7.18733
         5         2         1         1          0.00296815             6.80689
         5         2         1         1          0.00248354             6.47144
         5         2         1         1           0.0021565             6.16618
         5         2         1         1          0.00192044             5.88358
         5         2         1         1          0.00174179             5.62086
         5         2         1         1          0.00160174               5.376
         5         2         1         1          0.00148894             5.14657
         5         2         1         1          0.00139609             4.93096
         5         2         1         1          0.00131832             4.72861
         5         2         1         1          0.00125221             4.53742
         5         2         1         1          0.00119532             4.35677
         5         2         1         1          0.00114585             4.18584
         5         2         1         1          0.00110243             4.02436
         5         2         1         1          0.00106403             3.87072
         5         2         1         1          0.00102982             3.72444
         5         2         1         1         0.000999163             3.58588
