 *tel    csi      Z      A           Jerzy's Formula                 NumParPar0             Par1        Par2       Par3
    6      0      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00166626  0.00703417     1.66472   1.77443
    6      1      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00347895  0.00764523     1.81996   1.95099
    6      1      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00347895  0.00764523     1.81996   1.95099
    6      1      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00347895  0.00764523     1.81996   1.95099
    6      2      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00581194  0.00723741     1.96719   2.10704
    6      2      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00581194  0.00723741     1.96719   2.10704
    6      2      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00581194  0.00723741     1.96719   2.10704
    6      3      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00331928  0.00688448      1.6718   1.76955
    6      3      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00331928  0.00688448      1.6718   1.76955
    6      3      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00331928  0.00688448      1.6718   1.76955
    7      0      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  -0.00145098  0.00742647     1.65373   1.76808
    7      0      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  -0.00145098  0.00742647     1.65373   1.76808
    7      0      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  -0.00145098  0.00742647     1.65373   1.76808
    7      1      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00448228  0.00771371     1.86066   1.98892
    7      1      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00448228  0.00771371     1.86066   1.98892
    7      1      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00448228  0.00771371     1.86066   1.98892
    7      2      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00177849  0.00764985     1.92191   2.05824
    7      2      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00177849  0.00764985     1.92191   2.05824
    7      2      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00177849  0.00764985     1.92191   2.05824
    7      3      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00309609  0.00758147     1.98394   2.11924
    7      3      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00309609  0.00758147     1.98394   2.11924
    7      3      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00309609  0.00758147     1.98394   2.11924
    8      0      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00700843  0.00689579     1.67109   1.75684
    8      0      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00700843  0.00689579     1.67109   1.75684
    8      0      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00700843  0.00689579     1.67109   1.75684
    8      1      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00533285  0.00729754     1.99604   2.12774
    8      1      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00533285  0.00729754     1.99604   2.12774
    8      1      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00533285  0.00729754     1.99604   2.12774
    8      2      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00996156  0.00712882      1.6547   1.74767
    8      2      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00996156  0.00712882      1.6547   1.74767
    8      2      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00996156  0.00712882      1.6547   1.74767
    8      3      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00952601  0.00668953     1.67177   1.74349
    8      3      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00952601  0.00668953     1.67177   1.74349
    8      3      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00952601  0.00668953     1.67177   1.74349
    9      0      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  -0.00193123  0.00701378     1.66676     1.781
    9      0      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  -0.00193123  0.00701378     1.66676     1.781
    9      0      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  -0.00193123  0.00701378     1.66676     1.781
