 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    3         3           1366            0.5        223.625        2.23625
    3         3           1446            0.5        234.761        2.34761
    3         3           1526            0.5        245.845        2.45845
    4         0            106            0.5        10.3273       0.103273
    4         0            151            0.5         21.484        0.21484
    4         0            206            0.5        32.2607       0.322607
    4         0            271            0.5        43.4764       0.434764
    4         0            341            0.5        54.7667       0.547667
    4         0            411            0.5        65.6137       0.656137
    4         0            486            0.5        76.8899       0.768899
    4         0            561            0.5        87.7721       0.877721
    4         0            636            0.5        98.3868       0.983868
    4         0            716            0.5        109.443        1.09443
    4         0            801            0.5         120.93         1.2093
    4         0            881            0.5        131.528        1.31528
    4         0            966            0.5        142.588        1.42588
    4         0           1051            0.5        153.466        1.53466
    4         0           1141            0.5         164.81         1.6481
    4         0           1231            0.5        175.997        1.75997
    4         0           1316            0.5        186.435        1.86435
    4         0           1411            0.5        197.973        1.97973
    4         0           1501            0.5        208.794        2.08794
    4         0           1591            0.5        219.522        2.19522
    4         0           1686            0.5        230.757        2.30757
    4         1             78            0.5        11.4813       0.114813
    4         1            126            0.5        22.7223       0.227223
    4         1            180            0.5        33.1574       0.331574
    4         1            246            0.5        44.2475       0.442475
    4         1            318            0.5        55.2827       0.552827
    4         1            396            0.5         66.607        0.66607
    4         1            474            0.5        77.5457       0.775457
    4         1            558            0.5         88.968        0.88968
    4         1            636            0.5         99.385        0.99385
    4         1            720            0.5        110.431        1.10431
    4         1            804            0.5        121.329        1.21329
    4         1            894            0.5        132.861        1.32861
    4         1            978            0.5        143.504        1.43504
    4         1           1068            0.5        154.792        1.54792
    4         1           1158            0.5        165.972        1.65972
    4         1           1242            0.5        176.319        1.76319
    4         1           1332            0.5        187.319        1.87319
    4         1           1428            0.5        198.964        1.98964
    4         1           1518            0.5        209.807        2.09807
    4         1           1608            0.5        220.585        2.20585
    4         1           1698            0.5        231.305        2.31305
    4         1           1794            0.5        242.683        2.42683
