 *tel  csi     Z    A     CsICh  errCsICh     CsIV         errCsIV             CsIE        errCsIE            ESi        errESi
    5    0    1    1       989       0.5       0.910979     0.00910979          158.445        1.58445         1.5039       0.015039
    5    0    1    1       994       0.5        0.91596      0.0091596          159.441        1.59441        1.49768      0.0149768
    5    0    1    1       999       0.5       0.920931     0.00920931          160.439        1.60439        1.49151      0.0149151
    5    0    1    1      1004       0.5       0.925889     0.00925889          161.438        1.61438        1.48541      0.0148541
    5    0    1    1      1009       0.5       0.930831     0.00930831          162.439        1.62439        1.47937      0.0147937
    5    0    1    1      1014       0.5       0.935755     0.00935755          163.442        1.63442        1.47339      0.0147339
    5    0    1    1      1019       0.5       0.940663     0.00940663          164.446        1.64446        1.46747      0.0146747
    5    0    1    1      1024       0.5       0.945558     0.00945558          165.452        1.65452         1.4616       0.014616
    5    0    1    1      1029       0.5       0.950445     0.00950445          166.459        1.66459         1.4558       0.014558
    5    0    1    1      1034       0.5       0.955328     0.00955328          167.468        1.67468        1.45005      0.0145005
    5    0    1    1      1039       0.5        0.96021      0.0096021          168.479        1.68479        1.44436      0.0144436
    5    0    1    1      1044       0.5       0.965097     0.00965097          169.491        1.69491        1.43872      0.0143872
    5    0    1    1      1049       0.5       0.969993     0.00969993          170.505        1.70505        1.43314      0.0143314
    5    0    1    1      1054       0.5       0.974901     0.00974901          171.521        1.71521        1.42762      0.0142762
    5    0    1    1      1059       0.5       0.979826     0.00979826          172.538        1.72538        1.42214      0.0142214
    5    0    1    1      1064       0.5       0.984773     0.00984773          173.557        1.73557        1.41672      0.0141672
    5    0    1    1      1069       0.5        0.98974      0.0098974          174.578        1.74578        1.41135      0.0141135
    5    0    1    1      1074       0.5       0.994728     0.00994728            175.6          1.756        1.40603      0.0140603
    5    0    1    1      1079       0.5       0.999732     0.00999732          176.624        1.76624        1.40076      0.0140076
    5    0    1    1      1084       0.5        1.00475      0.0100475          177.649        1.77649        1.39553      0.0139553
    5    0    1    1      1089       0.5        1.00978      0.0100978          178.676        1.78676        1.39036      0.0139036
    5    0    1    1      1094       0.5        1.01482      0.0101482          179.705        1.79705        1.38524      0.0138524
    5    0    1    1      1099       0.5        1.01987      0.0101987          180.736        1.80736        1.38016      0.0138016
    5    0    1    1      1104       0.5        1.02493      0.0102493          181.768        1.81768        1.37513      0.0137513
    5    0    1    1      1109       0.5        1.02999      0.0102999          182.802        1.82802        1.37014      0.0137014
    5    0    1    1      1114       0.5        1.03505      0.0103505          183.838        1.83838         1.3652       0.013652
    5    0    1    1      1119       0.5        1.04011      0.0104011          184.875        1.84875        1.36031      0.0136031
    5    0    1    1      1124       0.5        1.04517      0.0104517          185.914        1.85914        1.35546      0.0135546
    5    0    1    1      1129       0.5        1.05024      0.0105024          186.955        1.86955        1.35065      0.0135065
    5    0    1    1      1134       0.5         1.0553       0.010553          187.998        1.87998        1.34588      0.0134588
    5    0    1    1      1139       0.5        1.06038      0.0106038          189.042        1.89042        1.34116      0.0134116
    5    0    1    1      1144       0.5        1.06545      0.0106545          190.088        1.90088        1.33648      0.0133648
    5    0    1    1      1149       0.5        1.07053      0.0107053          191.136        1.91136        1.33184      0.0133184
    5    0    1    1      1154       0.5        1.07562      0.0107562          192.186        1.92186        1.32724      0.0132724
    5    0    1    1      1159       0.5        1.08071      0.0108071          193.237        1.93237        1.32268      0.0132268
    5    0    1    1      1164       0.5        1.08581      0.0108581           194.29         1.9429        1.31816      0.0131816
    5    0    1    1      1169       0.5        1.09092      0.0109092          195.345        1.95345        1.31368      0.0131368
    5    0    1    1      1174       0.5        1.09602      0.0109602          196.401        1.96401        1.30924      0.0130924
    5    0    1    1      1179       0.5        1.10113      0.0110113           197.46         1.9746        1.30484      0.0130484
    5    0    1    1      1184       0.5        1.10623      0.0110623           198.52         1.9852        1.30047      0.0130047
    5    0    1    1      1189       0.5        1.11133      0.0111133          199.582        1.99582        1.29614      0.0129614
    5    0    1    1      1194       0.5        1.11642      0.0111642          200.645        2.00645        1.29185      0.0129185
    5    0    1    1      1199       0.5         1.1215       0.011215          201.711        2.01711         1.2876       0.012876
    5    0    1    1      1204       0.5        1.12657      0.0112657          202.778        2.02778        1.28338      0.0128338
    5    0    1    1      1209       0.5        1.13163      0.0113163          203.847        2.03847        1.27919      0.0127919
    5    0    1    1      1214       0.5        1.13667      0.0113667          204.918        2.04918        1.27504      0.0127504
    5    0    1    1      1219       0.5        1.14171      0.0114171          205.991        2.05991        1.27092      0.0127092
    5    0    1    1      1224       0.5        1.14674      0.0114674          207.065        2.07065        1.26684      0.0126684
    5    0    1    1      1229       0.5        1.15177      0.0115177          208.142        2.08142        1.26279      0.0126279
    5    0    1    1      1234       0.5         1.1568       0.011568           209.22         2.0922        1.25878      0.0125878
    5    0    1    1      1239       0.5        1.16185      0.0116185            210.3          2.103         1.2548       0.012548
    5    0    1    1      1244       0.5        1.16691      0.0116691          211.382        2.11382        1.25084      0.0125084
    5    0    1    1      1249       0.5        1.17198      0.0117198          212.466        2.12466        1.24693      0.0124693
    5    0    1    1      1254       0.5        1.17708      0.0117708          213.551        2.13551        1.24304      0.0124304
    5    0    1    1      1259       0.5         1.1822       0.011822          214.639        2.14639        1.23918      0.0123918
    5    0    1    1      1264       0.5        1.18735      0.0118735          215.728        2.15728        1.23536      0.0123536
    5    0    1    1      1269       0.5        1.19253      0.0119253          216.819        2.16819        1.23156      0.0123156
    5    0    1    1      1274       0.5        1.19772      0.0119772          217.913        2.17913         1.2278       0.012278
    5    0    1    1      1279       0.5        1.20293      0.0120293          219.008        2.19008        1.22406      0.0122406
    5    0    1    1      1284       0.5        1.20817      0.0120817          220.105        2.20105        1.22036      0.0122036
    5    0    1    1      1289       0.5        1.21341      0.0121341          221.204        2.21204        1.21668      0.0121668
    5    0    1    1      1294       0.5        1.21867      0.0121867          222.304        2.22304        1.21303      0.0121303
    5    0    1    1      1299       0.5        1.22394      0.0122394          223.407        2.23407        1.20941      0.0120941
    5    0    1    1      1304       0.5        1.22922      0.0122922          224.512        2.24512        1.20582      0.0120582
    5    0    1    1      1309       0.5         1.2345       0.012345          225.618        2.25618        1.20226      0.0120226
    5    0    1    1      1314       0.5        1.23979      0.0123979          226.727        2.26727        1.19872      0.0119872
    5    0    1    1      1319       0.5        1.24508      0.0124508          227.837        2.27837        1.19521      0.0119521
    5    0    1    1      1324       0.5        1.25036      0.0125036           228.95         2.2895        1.19173      0.0119173
    5    0    1    1      1329       0.5        1.25564      0.0125564          230.064        2.30064        1.18827      0.0118827
    5    0    1    1      1334       0.5        1.26091      0.0126091           231.18         2.3118        1.18484      0.0118484
    5    0    1    1      1339       0.5        1.26616      0.0126616          232.299        2.32299        1.18144      0.0118144
    5    0    1    1      1344       0.5         1.2714       0.012714          233.419        2.33419        1.17806      0.0117806
    5    0    1    1      1349       0.5        1.27663      0.0127663          234.541        2.34541         1.1747       0.011747
    5    0    1    1      1354       0.5        1.28183      0.0128183          235.666        2.35666        1.17137      0.0117137
    5    0    1    1      1359       0.5        1.28701      0.0128701          236.792        2.36792        1.16807      0.0116807
    5    0    1    1      1364       0.5        1.29219      0.0129219           237.92         2.3792        1.16479      0.0116479
    5    0    1    1      1369       0.5        1.29737      0.0129737           239.05         2.3905        1.16153      0.0116153
    5    0    1    1      1374       0.5        1.30255      0.0130255          240.183        2.40183         1.1583       0.011583
    5    0    1    1      1379       0.5        1.30774      0.0130774          241.317        2.41317        1.15509      0.0115509
    5    0    1    1      1384       0.5        1.31294      0.0131294          242.454        2.42454        1.15191      0.0115191
    5    0    1    1      1389       0.5        1.31816      0.0131816          243.592        2.43592        1.14874      0.0114874
    5    0    1    1      1394       0.5        1.32342      0.0132342          244.732        2.44732         1.1456       0.011456
    5    0    1    1      1399       0.5         1.3287       0.013287          245.875        2.45875        1.14249      0.0114249
