      *tel    numcsi         Z         A               AZ2/E               Leff
         5         1         1         1           0.0051622          0.00588871
         5         1         1         1          0.00487094          0.00575697
         5         1         1         1           0.0046108          0.00564891
         5         1         1         1          0.00437703          0.00556686
         5         2         1         1             0.11633           0.0111791
         5         2         1         1           0.0489402           0.0105997
         5         2         1         1           0.0309886           0.0100713
         5         2         1         1           0.0226722          0.00958847
         5         2         1         1           0.0178751          0.00914641
         5         2         1         1           0.0147535          0.00874073
         5         2         1         1           0.0125601          0.00836754
         5         2         1         1           0.0109344           0.0080234
         5         2         1         1          0.00968137          0.00770534
         5         2         1         1          0.00868599           0.0074109
         5         2         1         1           0.0078762          0.00713806
         5         2         1         1          0.00720452          0.00688528
         5         2         1         1          0.00663841          0.00665152
         5         2         1         1          0.00615478          0.00643619
         5         2         1         1          0.00573683          0.00623917
         5         2         1         1          0.00537204          0.00606084
         5         2         1         1          0.00505086          0.00590202
         5         2         1         1          0.00476593          0.00576405
         5         2         1         1          0.00451142           0.0056487
         5         2         1         1          0.00428272          0.00555825
         5         3         1         1            0.132352           0.0151696
         5         3         1         1           0.0538512           0.0145965
         5         3         1         1           0.0338023            0.014079
         5         3         1         1           0.0246318           0.0136201
         5         3         1         1           0.0193754           0.0132212
         5         3         1         1           0.0159678           0.0128821
         5         3         1         1           0.0135796            0.012601
         5         3         1         1           0.0118128           0.0123748
         5         3         1         1           0.0104528           0.0121985
         5         3         1         1          0.00937363           0.0120659
         5         3         1         1          0.00849644           0.0119689
         5         3         1         1          0.00776938           0.0118982
         5         3         1         1          0.00715694           0.0118426
         5         3         1         1            0.006634           0.0117897
         5         3         1         1          0.00618228           0.0117252
         5         3         1         1          0.00578815           0.0116335
         5         3         1         1          0.00544127           0.0114974
         5         3         1         1          0.00513361            0.011298
         5         3         1         1          0.00485888           0.0110151
         5         3         1         1          0.00461206           0.0106267
         6         0         1         1            0.134678          0.00890126
         6         0         1         1           0.0590863          0.00840863
         6         0         1         1           0.0378449           0.0080467
         6         0         1         1           0.0278374          0.00778895
         6         0         1         1           0.0220157          0.00761165
         6         0         1         1           0.0182078          0.00749396
         6         0         1         1           0.0155229          0.00741786
         6         0         1         1           0.0135281          0.00736818
         6         0         1         1           0.0119876          0.00733256
         6         0         1         1           0.0107621          0.00730154
         6         0         1         1          0.00976392          0.00726844
         6         0         1         1          0.00893518          0.00722947
         6         0         1         1          0.00823612          0.00718365
         6         0         1         1           0.0076385          0.00713285
         6         0         1         1          0.00712175          0.00708179
         6         0         1         1          0.00667048          0.00703802
         6         0         1         1          0.00627299          0.00701194
         6         0         1         1          0.00592021          0.00701679
         6         0         1         1            0.005605          0.00706865
         6         0         1         1          0.00532166          0.00718643
         6         1         1         1            0.118141          0.00931142
         6         1         1         1           0.0528952          0.00887807
         6         1         1         1            0.034076          0.00851761
         6         1         1         1           0.0251338          0.00821625
         6         1         1         1           0.0199093          0.00796172
         6         1         1         1            0.016483           0.0077432
         6         1         1         1           0.0140628           0.0075514
         6         1         1         1           0.0122624          0.00737849
         6         1         1         1           0.0108706          0.00721816
