 *tel    numcsi         Z         A           CsIV        errCsIV           CsIE       errCsIE
    7         2         1         3       0.249265              0        35.5221              0
    7         2         1         3       0.317149              0        45.7851              0
    7         2         1         3       0.382336              0        55.5693              0
    7         2         1         3       0.447402              0        65.4318              0
    7         2         1         3       0.515781              0        75.9524              0
    7         2         1         3       0.580426              0         85.958              0
    7         2         1         3       0.641689              0        95.4328              0
    7         3         1         3      0.0359918              0        5.52751              0
    7         3         1         3       0.118279              0        15.9903              0
    7         3         1         3       0.186065              0        25.7714              0
    7         3         1         3       0.254678              0        35.8949              0
    7         3         1         3         0.3194              0        45.5573              0
    7         3         1         3       0.387327              0         55.982              0
    7         3         1         3       0.452195              0        65.9221              0
    7         3         1         3       0.516512              0        75.9732              0
    7         3         1         3       0.576599              0        85.4887              0
    7         3         1         3       0.641542              0        95.7292              0
    8         0         1         3      0.0454148              0        5.81446              0
    8         0         1         3       0.111255              0        15.7039              0
    8         0         1         3       0.172981              0        25.3562              0
    8         0         1         3        0.24044              0        35.8538              0
    8         0         1         3       0.304847              0        45.7874              0
    8         0         1         3       0.368973              0         55.859              0
    8         0         1         3       0.428579              0        65.3744              0
    8         0         1         3       0.493119              0        75.6803              0
    8         0         1         3       0.553288              0        85.3916              0
    8         0         1         3       0.617802              0        95.8831              0
    8         1         1         3      0.0364395              0        5.55612              0
    8         1         1         3        0.10619              0        15.8008              0
    8         1         1         3       0.175941              0        25.7953              0
    8         1         1         3       0.245692              0        35.8973              0
    8         1         1         3       0.311954              0        45.6142              0
    8         1         1         3       0.378255              0        55.5026              0
    8         1         1         3        0.44455              0        65.5519              0
    8         1         1         3       0.509923              0        75.7511              0
    8         1         1         3       0.573004              0        85.5446              0
    8         1         1         3       0.635769              0        95.4603              0
    8         2         1         3      0.0445941              0        5.94398              0
    8         2         1         3       0.109818              0        15.5854              0
    8         2         1         3       0.179645              0         25.991              0
    8         2         1         3        0.24605              0        35.8959              0
    8         2         1         3       0.312755              0          45.82              0
    8         2         1         3       0.378982              0        55.8482              0
    8         2         1         3       0.445992              0        65.9988              0
    8         2         1         3       0.509088              0        75.7061              0
    8         2         1         3       0.571789              0        85.5352              0
    8         2         1         3       0.635196              0         95.488              0
    8         3         1         3      0.0427453              0        5.81817              0
    8         3         1         3       0.108157              0        15.7133              0
    8         3         1         3       0.173713              0         25.963              0
    8         3         1         3       0.236989              0        35.8195              0
    8         3         1         3       0.300679              0        45.6899              0
    8         3         1         3       0.364691              0        55.6483              0
    8         3         1         3       0.427874              0        65.7081              0
    8         3         1         3        0.49149              0        75.8757              0
