 *tel    csi      Z      A                          Fit Formula                                           Par0        Par1       Par2
    2      3      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2))))   -0.00164724  0.00765585    0.180488
    2      3      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2))))   -0.00164724  0.00765585    0.180488
    2      3      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2))))   -0.00164724  0.00765585    0.180488
    2      3      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2))))   -0.00164724  0.00765585    0.180488
    3      0      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                           0.00575625      68.027     54.6058
    3      0      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                           0.00575625      68.027     54.6058
    3      0      1      3                    [0].(pow(x,2)+[1].3.x)/(x+[2].3)                           0.00575625      68.027     54.6058
    3      0      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2))))   -0.00333647  0.00825644    0.243877
    3      0      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2))))   -0.00333647  0.00825644    0.243877
    3      0      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2))))   -0.00333647  0.00825644    0.243877
    3      0      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2))))   -0.00333647  0.00825644    0.243877
    3      0      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2))))   -0.00333647  0.00825644    0.243877
    3      0      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2))))   -0.00333647  0.00825644    0.243877
    3      0      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2))))   -0.00333647  0.00825644    0.243877
    3      0      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2))))   -0.00333647  0.00825644    0.243877
    3      1      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                           0.00603546     54.0081     43.7662
    3      1      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                           0.00603546     54.0081     43.7662
    3      1      1      3                    [0].(pow(x,2)+[1].3.x)/(x+[2].3)                           0.00603546     54.0081     43.7662
    3      1      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2))))   0.000563416  0.00837901    0.262969
    3      1      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2))))   0.000563416  0.00837901    0.262969
    3      1      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2))))   0.000563416  0.00837901    0.262969
    3      1      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2))))   0.000563416  0.00837901    0.262969
    3      1      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2))))   0.000563416  0.00837901    0.262969
    3      1      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2))))   0.000563416  0.00837901    0.262969
    3      1      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2))))   0.000563416  0.00837901    0.262969
    3      1      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2))))   0.000563416  0.00837901    0.262969
    3      2      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                           0.00346988       156.6     105.442
    3      2      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                           0.00346988       156.6     105.442
    3      2      1      3                    [0].(pow(x,2)+[1].3.x)/(x+[2].3)                           0.00346988       156.6     105.442
    3      2      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2))))   -0.00161158  0.00571745    0.203303
    3      2      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2))))   -0.00161158  0.00571745    0.203303
    3      2      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2))))   -0.00161158  0.00571745    0.203303
    3      2      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2))))   -0.00161158  0.00571745    0.203303
    3      2      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2))))   -0.00161158  0.00571745    0.203303
    3      2      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2))))   -0.00161158  0.00571745    0.203303
    3      2      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2))))   -0.00161158  0.00571745    0.203303
    3      2      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2))))   -0.00161158  0.00571745    0.203303
    3      3      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                           0.00586919     83.2381     68.7455
    3      3      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                           0.00586919     83.2381     68.7455
    3      3      1      3                    [0].(pow(x,2)+[1].3.x)/(x+[2].3)                           0.00586919     83.2381     68.7455
    3      3      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2))))   -0.00497709  0.00819798    0.212631
    3      3      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2))))   -0.00497709  0.00819798    0.212631
    3      3      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2))))   -0.00497709  0.00819798    0.212631
