 *tel    csi      Z      A   CsIE(MeV)   CsIV-VCal        CsIV       VCal
    0      3      2      4     192.952  -0.0411967     1.39367     1.43487
    0      3      2      4      205.17  -0.0415434     1.49036      1.5319
    0      3      2      4      218.34  -0.0408894     1.59571      1.6366
    0      3      2      4     231.593  -0.0397367     1.70231     1.74205
    0      3      2      4     244.937  -0.0385004      1.8098      1.8483
    0      3      2      4     257.479  -0.0374059     1.91083     1.94824
    0      3      2      4     270.109  -0.0367725     2.01216     2.04893
    0      3      2      6     9.55606   0.0138113   0.0321746   0.0183633
    0      3      2      6     20.8264   0.0228297    0.109839   0.0870093
    0      3      2      6     31.7938   0.0233591    0.185168    0.161809
    0      3      2      6     42.6898   0.0205097    0.260221    0.239711
    0      3      2      6     53.5297   0.0155146    0.334792    0.319277
    0      3      2      6     64.9424   0.0107644    0.415264      0.4045
    0      3      2      6     75.5102  0.00627052     0.49062    0.484349
    0      3      2      6     86.6898  0.000725725    0.570275    0.569549
    0      3      2      6     97.7922  -0.00463701    0.650096    0.654733
    0      3      2      6      108.83  -0.00861885    0.731251     0.73987
    0      3      2      6     119.815  -0.0141781    0.810783    0.824961
    0      3      2      6     130.757  -0.0192381    0.890779    0.910017
    0      3      2      6     141.663  -0.0221462    0.972897    0.995043
    0      3      2      6     152.541  -0.0261837     1.05388     1.08006
    0      3      2      6     163.399  -0.0289315     1.13618     1.16511
    0      3      2      6     174.919  -0.0299693     1.22555     1.25552
    0      3      2      6     185.752  -0.0280302     1.31265     1.34068
    0      3      2      6      196.58  -0.0266561     1.39927     1.42593
    0      3      2      6     207.409   -0.023751     1.48754     1.51129
    0      3      2      6      218.92  -0.0193516     1.58279     1.60214
    1      0      2      3      8.2088  0.000379266   0.0312539   0.0308746
    1      0      2      3     19.6959  0.00517454    0.115008    0.109833
    1      0      2      3     30.3599  0.00707128    0.196034    0.188963
    1      0      2      3     41.8169  0.00744001    0.283927    0.276487
    1      0      2      3     52.6544  0.00546389    0.366059    0.360595
